iteration,epsilon,payoff,attacker_best_response,defender_best_response
617,0.69196,4.43707,5.12903,4.01359
618,0.69251,4.43752,5.13003,4.01628
619,0.69306,4.43798,5.13103,4.01897
620,0.69360,4.43844,5.13203,4.02165
621,0.69413,4.43890,5.13303,4.02432
622,0.69466,4.43936,5.13402,4.02699
623,0.69518,4.43983,5.13501,4.02965
624,0.69570,4.44030,5.13600,4.03230
625,0.69622,4.44077,5.13699,4.03495
626,0.69673,4.44124,5.13797,4.03758
627,0.69723,4.44172,5.13895,4.04021
628,0.69774,4.44220,5.13993,4.04284
629,0.69823,4.44268,5.14091,4.04545
